CD14-CD3-CD19-CD20-CD16+CD56+	CD14-CD3-CD19-CD20-CD16+CD56+	NK subset		
CD14-CD3-CD19-CD20-CD16-CD56-				
CD14-CD3-CD19-CD20-CD16-CD56+				
				
CD3+CD4+CD127-CD25+			Tregs	CD3+, CD4+, CD127lo, CD25+
CD3+CD4+CD127-CD25+CCR4+			total Tregs	CD3+, CD4+, CD127lo, CD25+, CCR4+
CD3-CD19-CD20-CD14+			monocytes	Lin-, CD14+
CD3-CD19-CD20-CD14+CD16+			CD16+ monocytes	Lin-, CD14+, CD16+
CD3-CD19-CD20-CD14+CD16-			CD16- monocytes	Lin-, CD14+, CD16-
CD3-CD19-CD20-CD14-HLA.DR-			NK cells	Lin-, CD14-, HLA-DR-(?)
CD3-CD19-CD20-CD14-HLA.DR-CD16+CD56+			CD56+ NK cells	Lin-, CD14-, HLA-DR-, CD16+, CD56+
CD3-CD19-CD20-CD14-HLA.DR-CD16+CD56-			CD56- NK cells	Lin-, CD14-, HLA-DR-, CD16+, CD56-
CD3-CD19-CD20-CD14-CD16-CD56-HLA.DR+			dendritic cells	Lin-, CD14-, CD16-, CD56-, HLA-DR+(?)
