"x","celllabel","plabel","marker","markerlabel","penalties","Number Of Hits","Score"
"<http://purl.obolibrary.org/obo/CL_0002443>","Ly49CI-positive natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002444>","Ly49H-positive natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002445>","Ly49D-negative natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002448>","Ly49H-negative natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002449>","CD94-positive Ly49CI-positive natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000549>","basophilic erythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000765>","erythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000550>","polychromatophilic erythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000552>","orthochromatic erythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002013>","GlyA-positive basophillic erythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002014>","Kit-negative, Ly-76 high basophilic erythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002015>","Kit-negative, Ly-76 high polychromatophilic erythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002016>","CD71-low, GlyA-positive polychromatic erythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002017>","Kit-negative, Ly-76 high orthochromatophilic erythroblasts","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002018>","CD71-negative, GlyA-positive orthochromatic erythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000831>","mast cell progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002029>","Fc-epsilon RIalpha-low mast cell progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000837>","hematopoietic multipotent progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000936>","early lymphoid progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002035>","Slamf1-negative multipotent progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002043>","CD34-positive, CD38-negative multipotent progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002036>","Slamf1-positive multipotent progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001029>","common dendritic progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002010>","pre-conventional dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000050>","megakaryocyte-erythroid progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002009>","macrophage dendritic cell progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000049>","common myeloid progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002032>","hematopoietic oligopotent progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000051>","common lymphoid progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000557>","granulocyte monocyte progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000995>","CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001021>","CD34-positive, CD38-positive common lymphoid progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001012>","CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001027>","CD7-negative lymphoid progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001025>","Kit-positive, Sca1-positive common lymphoid progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002001>","CD34-positive, CD38-positive granulocyte monocyte progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001023>","Kit-positive, CD34-positive common myeloid progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001028>","CD7-positive lymphoid progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001030>","CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002006>","Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002002>","Kit-positive granulocyte monocyte progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002005>","CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002011>","Kit-positive macrophage dendritic cell progenitor","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002089>","nuocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002476>","bone marrow macrophage","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002679>","natural helper lymphocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
