"x","celllabel","parent","parentlabel","Score"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000840>","immature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002526>","CD14-positive dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000841>","mature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002526>","CD14-positive dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000840>","immature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000841>","mature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000782>","myeloid dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000782>","myeloid dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000840>","immature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000782>","myeloid dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0000841>","mature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0002320>","connective tissue cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_1000500>","kidney interstitial cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_1000497>","kidney cell","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","<http://purl.obolibrary.org/obo/CL_0000764>","erythroid lineage cell","1"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","<http://purl.obolibrary.org/obo/CL_0002242>","nucleate cell","1"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","<http://purl.obolibrary.org/obo/CL_0000763>","myeloid cell","1"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","<http://purl.obolibrary.org/obo/CL_0000764>","erythroid lineage cell","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","<http://purl.obolibrary.org/obo/CL_0002242>","nucleate cell","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","<http://purl.obolibrary.org/obo/CL_0000763>","myeloid cell","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","<http://purl.obolibrary.org/obo/CL_0000764>","erythroid lineage cell","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","<http://purl.obolibrary.org/obo/CL_0002242>","nucleate cell","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","<http://purl.obolibrary.org/obo/CL_0000763>","myeloid cell","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","1"
"<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","<http://purl.obolibrary.org/obo/CL_0000839>","myeloid lineage restricted progenitor cell","1"
"<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","1"
"<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","<http://purl.obolibrary.org/obo/CL_0002031>","hematopoietic lineage restricted progenitor cell","1"
"<http://purl.obolibrary.org/obo/CL_0002023>","CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002023>","CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002023>","CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
